Date,Steps,Distance,Floors Ascended
7/2/2022,1067,0.5,3
7/1/2022,8485,4.1,11
6/30/2022,7573,3.6,6
6/29/2022,3411,1.7,6
6/28/2022,6180,3,5
6/27/2022,7487,3.7,12
6/26/2022,8154,4,2
6/25/2022,743,0.4,1
6/24/2022,8651,4.2,8
6/23/2022,3864,1.9,6
6/22/2022,9496,4.8,8
6/21/2022,3485,1.8,8
6/20/2022,6134,3,4
6/19/2022,3493,1.8,2
6/18/2022,1241,0.6,3
6/17/2022,4348,2.1,1
6/16/2022,4754,2.2,2
6/15/2022,8030,4,11
6/14/2022,6598,3.1,2
6/13/2022,7223,3.6,3
6/12/2022,3592,1.8,1
6/11/2022,1249,0.6,1
6/10/2022,4365,2,0
6/9/2022,985,0.5,1
6/8/2022,5056,2.5,2
6/7/2022,7155,3.5,8
6/6/2022,4670,2.3,2
6/5/2022,3791,1.9,4
6/4/2022,4022,2,0
6/3/2022,372,0.2,1
6/2/2022,2163,1,2
6/1/2022,4350,2.2,2
5/31/2022,900,0.5,0
5/30/2022,4988,2.4,6
5/29/2022,789,0.4,0
5/28/2022,9080,4.4,4
5/27/2022,3302,1.5,0
5/26/2022,1658,0.8,0
5/25/2022,1292,0.6,1
5/24/2022,273,0.2,0
5/23/2022,432,0.2,0
5/22/2022,1474,0.7,0
5/21/2022,1321,0.7,2
5/20/2022,2684,1.3,0
5/19/2022,522,0.3,0
5/18/2022,3406,1.7,7
5/17/2022,1672,0.8,1
5/16/2022,5350,2.6,1
5/15/2022,2172,1.1,1
5/14/2022,1999,1,2
5/13/2022,225,0.1,0
5/12/2022,836,0.4,1
5/11/2022,973,0.5,2
5/10/2022,2675,1.3,7
5/9/2022,999,0.5,0
5/8/2022,1362,0.7,1
5/7/2022,802,0.4,1
5/6/2022,286,0.2,0
5/5/2022,4532,2.1,1
5/4/2022,3430,1.8,6
5/3/2022,5438,2.6,4
5/2/2022,3813,2,5
5/1/2022,1871,0.9,4
4/30/2022,869,0.4,1
4/29/2022,5763,2.7,2
4/28/2022,365,0.2,0
4/27/2022,5573,2.6,6
4/26/2022,5822,2.9,9
4/25/2022,5092,2.4,2
4/24/2022,800,0.4,1
4/23/2022,1688,0.8,1
4/22/2022,4939,2.3,2
4/21/2022,317,0.2,0
4/20/2022,7971,3.9,6
4/19/2022,7529,3.8,12
4/18/2022,5613,2.6,2
4/17/2022,314,0.2,0
4/16/2022,2578,1.3,2
4/15/2022,5432,2.6,2
4/14/2022,594,0.3,1
4/13/2022,9956,4.8,5
4/12/2022,6858,3.4,9
4/11/2022,5336,2.5,3
4/10/2022,7453,3.4,2
4/9/2022,5231,2.2,1
4/8/2022,5239,2.2,2
4/7/2022,4191,1.7,0
4/6/2022,3996,2.1,1
4/5/2022,8848,4.1,7
4/4/2022,5187,2.2,0
4/3/2022,1885,1,0
4/2/2022,4870,1.8,0
4/1/2022,354,0.2,0
3/31/2022,498,0.3,0
3/30/2022,6750,3.3,5
3/29/2022,7281,3.7,12
3/28/2022,5201,2.5,2
3/27/2022,5588,2.6,2
3/26/2022,6860,3.3,3
3/25/2022,3764,1.9,0
3/24/2022,139,0.1,0
3/23/2022,7258,3.6,6
3/22/2022,6678,3.4,8
3/21/2022,3959,2,2
3/20/2022,7141,3.5,2
3/19/2022,5350,2.7,3
3/18/2022,6134,3.1,3
3/17/2022,119,0.1,0
3/16/2022,5850,2.9,7
3/15/2022,6733,3.3,8
3/14/2022,4668,2.4,2
3/13/2022,1852,0.9,1
3/12/2022,213,0.1,0
3/11/2022,1019,0.5,2
3/10/2022,67,0,0
3/9/2022,212,0.1,0
3/8/2022,3442,1.7,11
3/7/2022,173,0.1,0
3/6/2022,1889,0.9,1
3/5/2022,183,0.1,0
3/4/2022,551,0.3,1
3/3/2022,178,0.1,0
3/2/2022,4483,2.2,7
3/1/2022,3400,1.7,7
2/28/2022,130,0.1,0
2/27/2022,2411,1.2,3
2/26/2022,2128,1.1,2
2/25/2022,399,0.2,0
2/24/2022,550,0.3,1
2/23/2022,2895,1.5,5
2/22/2022,3278,1.7,6
2/21/2022,234,0.1,0
2/20/2022,1550,0.8,1
2/19/2022,511,0.3,1
2/18/2022,1145,0.6,1
2/17/2022,410,0.2,1
2/16/2022,4638,2.3,6
2/15/2022,5477,2.7,10
2/14/2022,1123,0.6,1
2/13/2022,107,0.1,0
2/12/2022,293,0.1,0
2/11/2022,2200,1.1,2
2/10/2022,219,0.1,0
2/9/2022,3487,1.8,7
2/8/2022,3712,1.9,10
2/7/2022,148,0.1,0
2/6/2022,254,0.1,0
2/5/2022,2108,1,3
2/4/2022,288,0.2,0
2/3/2022,300,0.2,0
2/2/2022,3731,1.9,5
2/1/2022,3935,2,10
1/31/2022,4236,2.1,4
1/30/2022,2408,1.2,1
1/29/2022,2208,1.1,0
1/28/2022,2587,1.3,0
1/27/2022,353,0.2,0
1/26/2022,819,0.4,0
1/25/2022,418,0.2,0
1/24/2022,295,0.1,0
1/23/2022,1294,0.7,0
1/22/2022,2163,1.1,0
1/21/2022,3826,1.9,2
1/20/2022,528,0.3,0
1/19/2022,4222,1.9,3
1/18/2022,400,0.2,0
1/17/2022,2008,0.9,0
1/16/2022,4422,2.3,0
1/15/2022,1735,0.9,2
1/14/2022,397,0.2,0
1/13/2022,3304,1.6,0
1/12/2022,3331,1.6,0
1/11/2022,284,0.1,0
1/10/2022,574,0.3,0
1/9/2022,769,0.4,0
1/8/2022,191,0.1,0
1/7/2022,1654,0.9,0
1/6/2022,1235,0.6,1
1/5/2022,1165,0.6,0
1/4/2022,450,0.2,0
1/3/2022,403,0.2,0
1/2/2022,5834,3.1,0
1/1/2022,563,0.3,0
12/31/2021,3005,1.4,0
12/30/2021,962,0.5,0
12/29/2021,8542,4.3,2
12/28/2021,1601,0.8,1
12/27/2021,4673,2.3,0
12/26/2021,3879,1.9,0
12/25/2021,1813,0.9,0
12/24/2021,6075,3,2
12/23/2021,1332,0.7,0
12/22/2021,3830,2,0
12/21/2021,3341,1.8,0
12/20/2021,4432,2.3,0
12/19/2021,3059,1.6,1
12/18/2021,5846,2.9,4
12/17/2021,8488,4.2,6
12/16/2021,5817,2.9,0
12/15/2021,5408,2.7,3
12/14/2021,4402,2.2,2
12/13/2021,4387,2.2,2
12/12/2021,2006,1,1
12/11/2021,542,0.3,0
12/10/2021,5629,2.9,3
12/9/2021,4622,2.2,2
12/8/2021,6055,2.9,2
12/7/2021,3923,1.8,1
12/6/2021,2566,1.3,4
12/5/2021,865,0.4,1
12/4/2021,6227,3.2,1
12/3/2021,5372,2.7,0
12/2/2021,5812,2.9,2
12/1/2021,7605,3.8,1
11/30/2021,10163,5.1,9
11/29/2021,7190,3.6,3
11/28/2021,5329,2.7,5
11/27/2021,4975,2.6,5
11/26/2021,195,0.1,2
11/25/2021,326,0.2,2
11/24/2021,7487,3.8,5
11/23/2021,8666,4.3,4
11/22/2021,1408,0.7,1
11/21/2021,2803,1.5,2
11/20/2021,6027,3,1
11/19/2021,7060,3.6,2
11/18/2021,5494,2.8,2
