Year (N);ISO;Rank N;Score N;Score N without the exactions;Score N with the exactions;Score exactions;Rank N-1;Score N-1;Rank evolution;FR_country;EN_country;ES_country;AR_country;FA_country;Zone
2015;BDI;145;57,07;57,07;;82,08;142;59,5;-3;Burundi;Burundi;Burundi;بوروندي;بروندی;Afrique
2015;BGD;146;57,05;59,46;;47,43;146;57,42;0;Bangladesh;Bangladesh;Bangladés;بنغلاديش;بنگلادش;Asie-Pacifique
2015;MYS;147;56,71;56,71;;78,03;147;57,27;0;Malaisie;Malaysia;Malasia;ماليزيا;مالزی;Asie-Pacifique
2015;MEX;148;56,31;61,18;;36,81;152;54,96;4;Mexique;Mexico;México;المكسيك;مکزیک;Amériques
2015;TUR;149;55,84;61,03;;35,11;154;54,13;5;Turquie;Turkey;Turquía;تركيا;ترکیه;EEAC
2015;COD;150;55,69;57,75;;47,48;151;55,36;1;RD Congo;The Democratic Republic Of The Congo;RD Congo;جمهورية الكونغو الديمقراطية;جمهوری دمکراتیک کنگو;Afrique
2015;GMB;151;55,5;55,79;;54,36;155;53,58;4;Gambie;Gambia;Gambia;غامبيا;گامبیا;Afrique
2015;RUS;152;55,03;58,89;;39,62;148;57,22;-4;Russie;Russian Federation;Rusia;روسيا;روسیه;EEAC
2015;SGP;153;54,13;54,13;;100;150;55,71;-3;Singapour;Singapore;Singapur;سنغافورة;سنگاپور;Asie-Pacifique
2015;LBY;154;54,01;59,34;;32,7;137;60,16;-17;Libye;Libya;Libia;ليبيا;لیبی;MENA
2015;SWZ;155;52,72;52,72;;73,61;156;53,24;1;Eswatini;Eswatini;Esuatini;إسواتيني;اسواتینی ;Afrique
2015;IRQ;156;52,24;58,41;;27,56;153;54,56;-3;Irak;Iraq;Irak;العراق;عراق;MENA
2015;BLR;157;52,02;52,02;;55,34;157;52,18;0;Bélarus;Belarus;Belarús;روسيا البيضاء;روسیه سفید;EEAC
2015;EGY;158;49,83;52,53;;39,02;159;48,11;1;Égypte;Egypt;Egipto;مصر;مصر;MENA
2015;PAK;159;49,54;53,15;;35,09;158;48,54;-1;Pakistan;Pakistan;Pakistán;باكستان;پاکستان;Asie-Pacifique
2015;KAZ;160;46,54;46,54;;58,89;161;45,06;1;Kazakhstan;Kazakhstan;Kazajistán;كازاخستان;قزاقستان;EEAC
2015;RWA;161;43,43;43,43;;66,68;162;43,43;1;Rwanda;Rwanda;Ruanda;رواندا;روندا;Afrique
2015;AZE;162;41,59;42,12;;39,5;160;47,13;-2;Azerbaïdjan;Azerbaijan;Azerbaiyán;أذربيجان;آذربایجان;EEAC
2015;BHR;163;41,31;41,31;;42,47;163;41,74;0;Bahreïn;Bahrain;Baréin;البحرين;بحرین;MENA
2015;SAU;164;40,59;40,59;;44,02;164;41,7;0;Arabie saoudite;Saudi Arabia;Arabia Saudita;المملكة العربية السعودية;عربستان سعودی;MENA
2015;LKA;165;39,72;39,72;;59,4;165;40,87;0;Sri Lanka;Sri Lanka;Sri Lanka;سري لانكا;سریلانکا;Asie-Pacifique
2015;UZB;166;38,86;40,23;;33,36;166;38,99;0;Ouzbékistan;Uzbekistan;Uzbekistán;أوزبكستان;اوزبکستان;EEAC
2015;GNQ;167;33,77;33,77;;86,14;168;32,05;1;Guinée équatoriale;Equatorial Guinea;Guinea Ecuatorial;غينيا الاستوائية;گینه اکوادور;Afrique
2015;YEM;168;33,64;33,64;;48,35;167;32,74;-1;Yémen;Yemen;Yemen;اليمن;یمن;MENA
2015;CUB;169;29,79;29,79;;47,74;170;29,08;1;Cuba;Cuba;Cuba;كوبا;کوبا;Amériques
2015;DJI;170;28,96;28,96;;74,35;169;29,66;-1;Djibouti;Djibouti;Yibuti;جيبوتي;جیبوتی;Afrique
2015;LAO;171;28,75;28,75;;43,98;171;28,78;0;Laos;Lao People's Democratic Republic;Laos;لاوس;لائوس;Asie-Pacifique
2015;SOM;172;27,69;27,69;;46,29;176;26,81;4;Somalie;Somalia;Somalia;الصومال;سومالی;Afrique
2015;IRN;173;27,68;29,18;;21,7;173;27,71;0;Iran;Islamic Republic of Iran;Irán;إيران;ایران;MENA
2015;SDN;174;27,66;27,66;;47,32;172;28,12;-2;Soudan;Sudan;Sudán;السودان;سودان;Afrique
2015;VNM;175;27,37;27,94;;25,11;174;27,64;-1;Viêt Nam;Vietnam;Vietnam;فيتنام;ویتنام;Asie-Pacifique
2015;CHN;176;26,45;30,47;;10,36;175;27,09;-1;Chine;China;China;الصين;چین;Asie-Pacifique
2015;SYR;177;22,71;25,16;;12,89;177;22,96;0;Syrie;Syrian Arab Republic;Siria;سوريا;سوریه;MENA
2015;TKM;178;19,17;19,17;;89,01;178;19,19;0;Turkménistan;Turkmenistan;Turkmenistán;تركمانستان;ترکمنستان;EEAC
2015;PRK;179;16,75;16,75;;48,13;179;18,04;0;Corée du Nord;Democratic People's Republic of Korea;Corea del Norte;كوريا الشمالية;کره شمالی;Asie-Pacifique
2015;ERI;180;15,14;15,14;;68,22;180;15,17;0;Érythrée;Eritrea;Eritrea;إريتريا;اریتره;Afrique
