pl_name,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,discoverymethod,disc_year
Kepler-1365 b,0.92,0.14,-0.1,0.721,NA,NA,Transit,2016
HD 170469 b,14.1,NA,NA,209.7678,34.9613,-34.9613,Radial Velocity,2007
Kepler-341 d,1.85,0.94,-0.94,4.08,NA,NA,Transit,2014
Kepler-977 b,2.62,0.17,-0.17,7.37,NA,NA,Transit,2016
HD 98219 b,13.4,NA,NA,624.21812,31.46517,-31.46517,Radial Velocity,2011
HAT-P-31 b,12.21781,1.68135,-1.68135,721.4741,266.9772,-266.9772,Transit,2011
WASP-131 b,13.74221034,0.41473229,-0.41473229,86.76715511,6.03873973,-6.03873973,Transit,2016
AU Mic e,4.87,NA,NA,21.1,5.4,-4.3,Radial Velocity,2025
TOI-2267 c,1.14,0.13,-0.13,1.55,NA,NA,Transit,2025
KELT-16 b,15.860735,0.941556,-0.751003,874.0325,50.8528,-47.6745,Transit,2017
GJ 393 b,1.17,NA,NA,1.71,0.24,-0.24,Radial Velocity,2021
Kepler-879 b,2.57,0.66,-0.28,7.13,NA,NA,Transit,2016
Kepler-1933 b,1.17984089,NA,NA,1.76,NA,NA,Transit,2021
Kepler-1641 b,3.11,1.13,-0.58,9.85,NA,NA,Transit,2016
GJ 687 b,4.32,NA,NA,17.2,1,-1,Radial Velocity,2014
Kepler-23 b,1.638,0.047,-0.047,2.56,0.43,-0.4,Transit,2011
Kepler-554 b,4.29,0.27,-0.21,17,NA,NA,Transit,2016
HD 159868 c,14,NA,NA,244.09344,13.98452,-13.98452,Radial Velocity,2012
XO-2 S c,13.6,NA,NA,435.409,16.844,-16.844,Radial Velocity,2014
TOI-5388.01,0.99,0.07,-0.06,2.2,NA,NA,Transit,2024
TOI-1238 c,2.11,0.14,-0.14,8.32,1.9,-1.88,Transit,2022
Kepler-1331 b,1.05,0.09,-0.08,1.16,NA,NA,Transit,2016
Kepler-1246 b,1.36,0.2,-0.22,2.42,NA,NA,Transit,2016
Kepler-287 b,2.33,1.06,-1.06,83,50,-26,Transit,2014
Kepler-432 c,13.3,NA,NA,772.3269,69.9226,-76.2792,Radial Velocity,2015
HD 102843 b,13.1,NA,NA,113.9,14.5,-14.5,Radial Velocity,2019
K2-155 b,1.8,0.2,-0.1,3.89,NA,NA,Transit,2018
Kepler-162 c,3.03,1.63,-1.63,9.43,NA,NA,Transit,2014
Kepler-603 d,1.32,0.25,-0.13,2.3,NA,NA,Transit,2016
Kepler-139 b,2.94,0.57,-0.57,7,3,-3,Transit,2014
K2-155 d,1.9,0.7,-0.2,4.27,NA,NA,Transit,2018
Kepler-1443 b,0.97,0.22,-0.09,0.871,NA,NA,Transit,2016
Kepler-48 c,2.71,0.14,-0.14,14.61,2.3,-2.3,Transit,2012
55 Cnc d,13,NA,NA,1232.493,21.612,-21.612,Radial Velocity,2002
HD 3651 b,10.1,NA,NA,72.46524,3.49613,-3.49613,Radial Velocity,2003
ups And c,12.3,NA,NA,4443.24112986,731.0053361,-1684.4905571,Radial Velocity,1999
Kepler-1369 b,2.69,0.42,-0.25,7.7,NA,NA,Transit,2016
V1298 Tau b,9.41,0.57,-0.57,13.1,5.3,-5.3,Transit,2019
GJ 887 c,2.43,NA,NA,6.5,1,-0.9,Radial Velocity,2020
TOI-4342 b,2.329,0.086,-0.085,7.3,1.3,-1.3,Transit,2023
HD 20794 f,2.28,NA,NA,5.82,0.57,-0.57,Radial Velocity,2025
KOINTREAU-3 b,13.1,NA,NA,1080.6165838,222.4798849,-222.4798849,Imaging,2026
Kepler-1644 b,1.88,0.52,-0.16,4.19,NA,NA,Transit,2016
Kepler-1249 b,2.38,0.97,-0.38,6.26,NA,NA,Transit,2016
WASP-78 b,21.63337,5.04405,-5.04405,352.7913,171.6282,-171.6282,Transit,2012
WASP-39 b,14.336311,0.44836,-0.44836,89.31023,10.17056,-10.17056,Transit,2011
WASP-36 b,14.874343,0.235389,-0.235389,750.39663,22.2481,-22.2481,Transit,2011
WASP-43 b,10.424,0.785,-1.009,565.714,31.782,-31.782,Transit,2011
GJ 1132 c,1.43,NA,NA,2.64,0.44,-0.44,Radial Velocity,2018
KIC 9663113 b,4.6,0.6,-0.7,19.2,NA,NA,Transit,2015
Kepler-12 b,19.660586,0.347479,-0.403524,137.30256,16.84499,-16.20933,Transit,2011
HAT-P-24 b,14.5717,2.35389,-2.35389,238.3725,79.4575,-79.4575,Transit,2010
Kepler-792 b,1.96,0.49,-0.23,4.5,NA,NA,Transit,2016
Kepler-539 b,8.373123,0.190553,-0.190553,308.2951,92.1707,-92.1707,Transit,2016
K2-165 d,2.64809498,0.25333143,-0.14795979,7.5,NA,NA,Transit,2018
Kepler-1254 c,1.3,0.07,-0.12,2.24,NA,NA,Transit,2016
Kepler-1674 b,3.2057749,NA,NA,10.4,NA,NA,Transit,2020
WASP-189 b,18.14733975,0.23538859,-0.23538859,632.47852993,50.85254512,-44.49597698,Transit,2020
WASP-41 b,12.3299,0.56045,-0.56045,270.1555,34.9613,-34.9613,Transit,2012
Kepler-255 c,2.99,1.18,-1.18,9.22,NA,NA,Transit,2014
Kepler-1238 b,1.93,0.85,-0.42,4.38,NA,NA,Transit,2016
Ross 176 b,1.84,0.08,-0.08,4.57,0.89,-0.93,Transit,2025
TOI-5422 b,9.10169233,0.3474784,-0.28022452,8899.195396,508.5254512,-381.3940884,Transit,2026
Kepler-5 b,15.984034,0.403524,-0.571659,670.93913,21.29461,-27.33338,Transit,2009
WASP-18 c,8.58,NA,NA,55.2,12.3,-12.3,Transit Timing Variations,2019
TOI-1743 b,1.83,0.11,-0.1,4.01,NA,NA,Transit,2025
Proxima Cen d,0.692,NA,NA,0.26,0.038,-0.038,Radial Velocity,2025
HAT-P-2 c,12.4,NA,NA,3400.7639549,1652.7077164,-699.2224954,Radial Velocity,2023
HATS-41 b,14.90797,3.25061,-2.2418,3082.951,508.528,-508.528,Transit,2018
Kepler-933 b,2.46,0.23,-0.16,6.62,NA,NA,Transit,2016
Kepler-1240 b,1.15,0.2,-0.1,1.6,NA,NA,Transit,2016
K2-80 c,1.47,0.23,-0.23,2.76,NA,NA,Transit,2016
Kepler-891 b,6.41,1.46,-0.6,33.6,NA,NA,Transit,2016
Kepler-1605 b,1.08,0.09,-0.08,1.28,NA,NA,Transit,2016
HD 80913 b,12,NA,NA,7505.2000029,1142.27529476,-1227.13547943,Radial Velocity,2022
Kepler-1984 b,6.81,0.75,-0.9,37.3,NA,NA,Transit,2023
Kepler-598 c,3.02420941,NA,NA,9.4,NA,NA,Transit,2020
HAT-P-29 b,13.11453,1.45717,-1.45717,279.6904,79.4575,-79.4575,Transit,2011
Kepler-288 d,2.67,1.27,-1.27,7.61,NA,NA,Transit,2014
Kepler-264 c,2.83,0.58,-0.58,8.4,NA,NA,Transit,2014
Kepler-1786 b,3.16305828,NA,NA,10.1,NA,NA,Transit,2021
Kepler-1119 b,1.92,0.63,-0.3,4.35,NA,NA,Transit,2016
Kepler-49 d,1.6,0.07,-0.07,235.982,NA,NA,Transit,2014
